,Ingredient,Trade_Name,Price
7133,DICLOFENAC SODIUM,SOLARAZE,21
7146,MECHLORETHAMINE HYDROCHLORIDE,VALCHLOR,22
7147,CLINDAMYCIN PHOSPHATE; TRETINOIN,VELTIN,21
7148,DICLOFENAC SODIUM,VOLTAREN ARTHRITIS PAIN,20
7149,KETOCONAZOLE,XOLEGEL,10
7150,CLINDAMYCIN PHOSPHATE; TRETINOIN,ZIANA,16
7155,ESTRADIOL,DIVIGEL,21
7156,OXYBUTYNIN CHLORIDE,GELNIQUE,19
7157,OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,22
7158,TESTOSTERONE,TESTIM,18
7171,PROGESTERONE,CRINONE,30
7173,METRONIDAZOLE,METROGEL-VAGINAL,24
7176,METRONIDAZOLE,NUVESSA,13
7177,METRONIDAZOLE,VANDAZOLE,15
7178,AMINOSALICYLIC ACID,PASER,8
7179,SODIUM BICARBONATE; TARTARIC ACID,BAROS,12
7181,COLESTIPOL HYDROCHLORIDE,COLESTID,4
7183,COLESTIPOL HYDROCHLORIDE,COLESTIPOL HYDROCHLORIDE,11
7185,ERYTHROMYCIN ETHYLSUCCINATE,E.E.S.,19
7186,ERYTHROMYCIN ETHYLSUCCINATE,ERYPED,9
7188,ERYTHROMYCIN ETHYLSUCCINATE,ERYTHROMYCIN ETHYLSUCCINATE,19
7195,ERYTHROMYCIN ETHYLSUCCINATE; SULFISOXAZOLE ACETYL,ERYTHROMYCIN ETHYLSUCCINATE AND SULFISOXAZOLE ACETYL,18
7196,ERYTHROMYCIN ETHYLSUCCINATE; SULFISOXAZOLE ACETYL,ERYZOLE,10
7197,COLESTIPOL HYDROCHLORIDE,FLAVORED COLESTID,13
7199,DEFERASIROX,JADENU SPRINKLE,20
7202,IVACAFTOR,KALYDECO,11
7207,MONTELUKAST SODIUM,MONTELUKAST SODIUM,16
7213,IPODATE CALCIUM,ORAGRAFIN CALCIUM,26
7214,IVACAFTOR; LUMACAFTOR,ORKAMBI,1
7216,ERYTHROMYCIN ETHYLSUCCINATE,PEDIAMYCIN,14
7217,ERYTHROMYCIN ETHYLSUCCINATE; SULFISOXAZOLE ACETYL,PEDIAZOLE,20
7220,MONTELUKAST SODIUM,SINGULAIR,24
7221,SECNIDAZOLE,SOLOSEC,5
7222,URIDINE TRIACETATE,VISTOGARD,11
7223,URIDINE TRIACETATE,XURIDEN,6
7224,NICOTINE POLACRILEX,NICORETTE,19
7228,NICOTINE POLACRILEX,NICORETTE (MINT),24
7230,NICOTINE POLACRILEX,NICOTINE POLACRILEX,23
7260,NICOTINE POLACRILEX,THRIVE,7
7262,ETONOGESTREL,IMPLANON,16
7263,LEVONORGESTREL,JADELLE,7
7264,LEVONORGESTREL,LEVONORGESTREL,15
7265,ETONOGESTREL,NEXPLANON,23
7266,LEVONORGESTREL,NORPLANT,19
7267,LEVONORGESTREL,NORPLANT SYSTEM IN PLASTIC CONTAINER,30
7268,BUPRENORPHINE HYDROCHLORIDE,PROBUPHINE,22
7269,MOMETASONE FUROATE,SINUVA,27
7270,LEUPROLIDE ACETATE,VIADUR,1
7271,GANCICLOVIR,VITRASERT,2
7272,GOSERELIN ACETATE,ZOLADEX,28
7274,CARMUSTINE,GLIADEL,19
7275,FLUOCINOLONE ACETONIDE,ILUVIEN,8
7276,DEXAMETHASONE,OZURDEX,19
7277,FLUOCINOLONE ACETONIDE,RETISERT,5
7278,FLUOCINOLONE ACETONIDE,YUTIQ,14
7279,BIMATOPROST,DURYSTA,10
7280,AFAMELANOTIDE,SCENESSE,23
7281,HISTRELIN ACETATE,SUPPRELIN LA,23
7282,HISTRELIN ACETATE,VANTAS,6
7284,AMPHOTERICIN B,ABELCET,17
7285,AMPHOTERICIN B,AMPHOTEC,19
7287,MORPHINE SULFATE,DEPODUR,20
7290,AMPHOTERICIN B,AMBISOME,3
7291,DAUNORUBICIN CITRATE,DAUNOXOME,18
7292,CYTARABINE,DEPOCYT,17
7293,DOXORUBICIN HYDROCHLORIDE,DOXIL (LIPOSOMAL),7
7295,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE (LIPOSOMAL),1
7299,BUPIVACAINE,EXPAREL,1
7301,VINCRISTINE SULFATE,MARQIBO KIT,26
7302,IRINOTECAN HYDROCHLORIDE,ONIVYDE,19
7303,CIPROFLOXACIN,OTIPRIO,17
7304,LEUPROLIDE ACETATE; NORETHINDRONE ACETATE,LUPANETA PACK,14
7306,HYDROCORTISONE SODIUM SUCCINATE,A-HYDROCORT,14
7316,METHYLPREDNISOLONE SODIUM SUCCINATE,A-METHAPRED,20
7330,METHOTREXATE SODIUM,ABITREXATE,26
7334,CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,ACETATED RINGER'S IN PLASTIC CONTAINER,3
7335,ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,30
7342,PROCAINE HYDROCHLORIDE; TETRACYCLINE HYDROCHLORIDE,ACHROMYCIN,25
7344,TETRACYCLINE HYDROCHLORIDE,ACHROMYCIN,22
7346,CORTICOTROPIN,ACTH,16
7348,CORTICOTROPIN,ACTHAR,3
7350,TECHNETIUM TC-99M APCITIDE,ACUTECT,2
7351,ACYCLOVIR SODIUM,ACYCLOVIR,14
7352,ACYCLOVIR SODIUM,ACYCLOVIR IN SODIUM CHLORIDE 0.9% PRESERVATIVE FREE,17
7354,ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,16
7380,ADENOSINE,ADENOCARD,3
7381,ADENOSINE,ADENOSINE,8
7395,DOXORUBICIN HYDROCHLORIDE,ADRIAMYCIN PFS,8
7397,FLUOROURACIL,ADRUCIL,15
7401,POLYMYXIN B SULFATE,AEROSPORIN,29
7402,TIROFIBAN HYDROCHLORIDE,AGGRASTAT,6
7406,BIPERIDEN LACTATE,AKINETON,4
7407,ALCOHOL; DEXTROSE,ALCOHOL 10% AND DEXTROSE 5%,23
7408,ALCOHOL; DEXTROSE,ALCOHOL 5% AND DEXTROSE 5%,6
7409,ALCOHOL; DEXTROSE,ALCOHOL 5% IN D5-W,26
7410,ALCOHOL,ALCOHOL 5% IN DEXTROSE 5%,1
7411,ALCOHOL; DEXTROSE,ALCOHOL 5% IN DEXTROSE 5% IN WATER,15
7412,METHYLDOPATE HYDROCHLORIDE,ALDOMET,27
7413,ALFENTANIL HYDROCHLORIDE,ALFENTA,21
7414,ALFENTANIL HYDROCHLORIDE,ALFENTANIL,18
7415,MELPHALAN HYDROCHLORIDE,ALKERAN,3
7416,ALLOPURINOL SODIUM,ALLOPURINOL SODIUM,2
7417,ALLOPURINOL SODIUM,ALOPRIM,20
7418,LIDOCAINE HYDROCHLORIDE,ALPHACAINE HYDROCHLORIDE,3
7419,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,ALPHACAINE HYDROCHLORIDE W/ EPINEPHRINE,16
7421,HYDROXOCOBALAMIN,ALPHAREDISOL,22
7422,ALPROSTADIL,ALPROSTADIL,20
7424,TECHNETIUM TC-99M MEDRONATE KIT,AMERSCAN MDP KIT,2
7425,AMINOCAPROIC ACID,AMICAR,9
7426,ETOMIDATE,AMIDATE,30
7427,AMIFOSTINE,AMIFOSTINE,20
7429,AMIKACIN SULFATE,AMIKACIN SULFATE,7
7450,AMIKACIN SULFATE,AMIKACIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,11
7451,AMIKACIN SULFATE,AMIKIN,16
7457,AMIKACIN SULFATE,AMIKIN IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,14
7459,AMINO ACIDS,AMINESS 5.2% ESSENTIAL AMINO ACIDS W/ HISTADINE,10
7460,AMINO ACIDS,AMINO ACIDS,23
7462,AMINOCAPROIC ACID,AMINOCAPROIC ACID,3
7466,AMINOCAPROIC ACID,AMINOCAPROIC ACID IN PLASTIC CONTAINER,7
7467,AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM,23
7468,AMINOPHYLLINE,AMINOPHYLLIN,11
7470,AMINOPHYLLINE,AMINOPHYLLINE,12
7490,AMINOPHYLLINE,AMINOPHYLLINE IN SODIUM CHLORIDE 0.45%,22
7492,AMINOPHYLLINE,AMINOPHYLLINE IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,20
7496,PROTEIN HYDROLYSATE,AMINOSOL 5%,1
7497,AMINO ACIDS,AMINOSYN 10%,25
7498,AMINO ACIDS,AMINOSYN 10% (PH6),9
7499,AMINO ACIDS,AMINOSYN 3.5%,16
7500,AMINO ACIDS,AMINOSYN 3.5% IN PLASTIC CONTAINER,11
7502,AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM ACETATE; SODIUM CHLORIDE,AMINOSYN 3.5% M,11
7503,AMINO ACIDS; MAGNESIUM ACETATE; POTASSIUM ACETATE; SODIUM CHLORIDE,AMINOSYN 3.5% M,22
7504,AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM ACETATE; SODIUM CHLORIDE,AMINOSYN 3.5% M IN PLASTIC CONTAINER,27
7506,AMINO ACIDS; DEXTROSE,AMINOSYN 3.5% W/ DEXTROSE 25% IN PLASTIC CONTAINER,6
7507,AMINO ACIDS; DEXTROSE,AMINOSYN 3.5% W/ DEXTROSE 5% IN PLASTIC CONTAINER,21
7508,AMINO ACIDS; DEXTROSE,AMINOSYN 4.25% W/ DEXTROSE 25% IN PLASTIC CONTAINER,3
7509,AMINO ACIDS,AMINOSYN 5%,2
7510,AMINO ACIDS,AMINOSYN 7%,24
7511,AMINO ACIDS,AMINOSYN 7% (PH6),6
7512,"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",AMINOSYN 7% W/ ELECTROLYTES,2
7513,AMINO ACIDS,AMINOSYN 8.5%,20
7514,AMINO ACIDS,AMINOSYN 8.5% (PH6),17
7515,"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",AMINOSYN 8.5% W/ ELECTROLYTES,20
7516,"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC",AMINOSYN 8.5% W/ELECTROLYTES,20
7517,AMINO ACIDS,AMINOSYN II 10%,11
7518,AMINO ACIDS,AMINOSYN II 10% IN PLASTIC CONTAINER,22
7519,"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",AMINOSYN II 10% W/ ELECTROLYTES,12
7520,AMINO ACIDS,AMINOSYN II 15% IN PLASTIC CONTAINER,13
7521,AMINO ACIDS,AMINOSYN II 3.5%,2
7522,AMINO ACIDS; DEXTROSE,AMINOSYN II 3.5% IN DEXTROSE 25% IN PLASTIC CONTAINER,11
7525,AMINO ACIDS; DEXTROSE,AMINOSYN II 3.5% IN DEXTROSE 5% IN PLASTIC CONTAINER,18
7528,AMINO ACIDS,AMINOSYN II 3.5% IN PLASTIC CONTAINER,30
7529,"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",AMINOSYN II 3.5% M,11
7530,"AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",AMINOSYN II 3.5% M IN DEXTROSE 5% IN PLASTIC CONTAINER,23
7533,"AMINO ACIDS; MAGNESIUM ACETATE; POTASSIUM ACETATE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",AMINOSYN II 3.5% M IN PLASTIC CONTAINER,20
7534,"AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",AMINOSYN II 3.5% W/ ELECTROLYTES IN DEXTROSE 25% IN PLASTIC CONTAINER,5
7535,"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",AMINOSYN II 3.5% W/ ELECTROLYTES IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER,26
7537,AMINO ACIDS; DEXTROSE,AMINOSYN II 4.25% IN DEXTROSE 10% IN PLASTIC CONTAINER,30
7539,AMINO ACIDS; DEXTROSE,AMINOSYN II 4.25% IN DEXTROSE 20% IN PLASTIC CONTAINER,25
7541,AMINO ACIDS; DEXTROSE,AMINOSYN II 4.25% IN DEXTROSE 25% IN PLASTIC CONTAINER,12
7544,"AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",AMINOSYN II 4.25% M IN DEXTROSE 10% IN PLASTIC CONTAINER,19
7546,"AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM ACETATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",AMINOSYN II 4.25% W/ ELECT AND ADJUSTED PHOSPHATE IN DEXTROSE 10% IN PLASTIC CONTAINER,3
7548,"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",AMINOSYN II 4.25% W/ ELECTROLYTES IN DEXTROSE 20% W/ CALCIUM IN PLASTIC CONTAINER,4
7550,"AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",AMINOSYN II 4.25% W/ ELECTROLYTES IN DEXTROSE 25% IN PLASTIC CONTAINER,7
7551,"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",AMINOSYN II 4.25% W/ ELECTROLYTES IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER,20
7553,AMINO ACIDS,AMINOSYN II 5%,12
7554,AMINO ACIDS; DEXTROSE,AMINOSYN II 5% IN DEXTROSE 25% IN PLASTIC CONTAINER,22
7557,"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",AMINOSYN II 5% W/ ELECTROLYTES IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER,21
7559,AMINO ACIDS,AMINOSYN II 7%,17
7560,"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",AMINOSYN II 7% W/ ELECTROLYTES,21
7561,AMINO ACIDS,AMINOSYN II 8.5%,11
7562,"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE",AMINOSYN II 8.5% W/ ELECTROLYTES,21
7563,"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC",AMINOSYN II 8.5% W/ELECTROLYTES,30
7564,AMINO ACIDS,AMINOSYN-HBC 7%,1
7565,AMINO ACIDS,AMINOSYN-HBC 7% IN PLASTIC CONTAINER,9
7566,AMINO ACIDS,AMINOSYN-HF 8%,3
7567,AMINO ACIDS,AMINOSYN-PF 10%,28
7568,AMINO ACIDS,AMINOSYN-PF 7%,5
7569,AMINO ACIDS,AMINOSYN-RF 5.2%,19
7570,AMIODARONE HYDROCHLORIDE,AMIODARONE HYDROCHLORIDE,9
7588,METRIZAMIDE,AMIPAQUE,29
7592,AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,9
7593,AMMONIUM CHLORIDE,AMMONIUM CHLORIDE,8
7595,AMMONIUM CHLORIDE,AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE,24
7596,AMMONIUM CHLORIDE,AMMONIUM CHLORIDE 2.14%,8
7597,AMMONIUM CHLORIDE,AMMONIUM CHLORIDE IN PLASTIC CONTAINER,5
7598,AMPHOTERICIN B,AMPHOTERICIN B,30
7602,AMPICILLIN SODIUM; SULBACTAM SODIUM,AMPICILLIN AND SULBACTAM,22
7639,AMPICILLIN SODIUM,AMPICILLIN SODIUM,26
7717,INAMRINONE LACTATE,AMRINONE LACTATE,9
7720,TECHNETIUM TC-99M PENTETATE KIT,AN-DTPA,6
7721,CEFAZOLIN SODIUM,ANCEF,20
7726,CEFAZOLIN SODIUM,ANCEF IN DEXTROSE 5% IN PLASTIC CONTAINER,6
7728,CEFAZOLIN SODIUM,ANCEF IN PLASTIC CONTAINER,19
7730,CEFAZOLIN SODIUM,ANCEF IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,17
7732,SUCCINYLCHOLINE CHLORIDE,ANECTINE,28
7736,IOTHALAMATE SODIUM,ANGIO-CONRAY,5
7737,DIATRIZOATE MEGLUMINE,ANGIOVIST 282,25
7738,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM,ANGIOVIST 292,18
7739,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM,ANGIOVIST 370,14
7740,PENTOLINIUM TARTRATE,ANSOLYSEN,22
7741,FOMEPIZOLE,ANTIZOL,12
7742,DOLASETRON MESYLATE,ANZEMET,27
7745,GENTAMICIN SULFATE,APOGEN,14
7747,HYDRALAZINE HYDROCHLORIDE,APRESOLINE,18
7748,PHYTONADIONE,AQUAMEPHYTON,9
7750,VITAMIN A PALMITATE,AQUASOL A,17
7751,CHLOROQUINE HYDROCHLORIDE,ARALEN HYDROCHLORIDE,25
7752,METARAMINOL BITARTRATE,ARAMINE,9
7753,PIPECURONIUM BROMIDE,ARDUAN,5
7754,PAMIDRONATE DISODIUM,AREDIA,19
7757,MEPIVACAINE HYDROCHLORIDE,ARESTOCAINE HYDROCHLORIDE,10
7758,LEVONORDEFRIN; MEPIVACAINE HYDROCHLORIDE,ARESTOCAINE HYDROCHLORIDE W/ LEVONORDEFRIN,2
7759,TRIMETHAPHAN CAMSYLATE,ARFONAD,28
7760,ARGATROBAN,ARGATROBAN,6
7768,TRIAMCINOLONE DIACETATE,ARISTOCORT,11
7770,TRIAMCINOLONE HEXACETONIDE,ARISTOSPAN,16
7772,ARSENIC TRIOXIDE,ARSENIC TRIOXIDE,9
7779,ARTICAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE,ARTICAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE,26
7780,MORPHINE SULFATE,ASTRAMORPH PF,20
7784,LORAZEPAM,ATIVAN,17
7786,ATRACURIUM BESYLATE,ATRACURIUM BESYLATE,17
7797,ATRACURIUM BESYLATE,ATRACURIUM BESYLATE PRESERVATIVE FREE,23
7808,ATROPINE SULFATE; MEPERIDINE HYDROCHLORIDE,ATROPINE AND DEMEROL,18
7811,AZTREONAM,AZACTAM,4
7814,AZTREONAM,AZACTAM IN PLASTIC CONTAINER,20
7817,AZATHIOPRINE SODIUM,AZATHIOPRINE SODIUM,24
7830,AZLOCILLIN SODIUM,AZLIN,26
7839,AZTREONAM,AZTREONAM,22
7844,BACITRACIN,BACIIM,27
7845,BACITRACIN,BACITRACIN,3
7852,SODIUM CHLORIDE,BACTERIOSTATIC SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,9
7862,OXACILLIN SODIUM,BACTOCILL IN PLASTIC CONTAINER,14
7864,SULFAMETHOXAZOLE; TRIMETHOPRIM,BACTRIM,19
7865,DIMERCAPROL,BAL,14
7868,DIPHENHYDRAMINE HYDROCHLORIDE,BENADRYL PRESERVATIVE FREE,26
7870,DICYCLOMINE HYDROCHLORIDE,BENTYL PRESERVATIVE FREE,22
7871,BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,12
7875,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E,BEROCCA PN,21
7876,CYANOCOBALAMIN,BERUBIGEN,9
7877,CYANOCOBALAMIN,BETALIN 12,18
7879,THIAMINE HYDROCHLORIDE,BETALIN S,6
7880,BETAMETHASONE ACETATE; BETAMETHASONE SODIUM PHOSPHATE,BETAMETHASONE ACETATE AND BETAMETHASONE SODIUM PHOSPHATE,4
7881,BETAMETHASONE SODIUM PHOSPHATE,BETAMETHASONE SODIUM PHOSPHATE,27
7882,PENICILLIN G BENZATHINE; PENICILLIN G PROCAINE,BICILLIN C-R,19
7884,PENICILLIN G BENZATHINE; PENICILLIN G PROCAINE,BICILLIN C-R 900/300,10
7885,PENICILLIN G BENZATHINE,BICILLIN L-A,11
7888,CARMUSTINE,BICNU,26
7889,BLEOMYCIN SULFATE,BLENOXANE,7
7891,BLEOMYCIN SULFATE,BLEOMYCIN SULFATE,18
7905,AMINO ACIDS,BRANCHAMIN 4%,9
7906,AMINO ACIDS,BRANCHAMIN 4% IN PLASTIC CONTAINER,6
7907,TERBUTALINE SULFATE,BRETHINE,25
7908,BRETYLIUM TOSYLATE,BRETYLIUM TOSYLATE,29
7920,BRETYLIUM TOSYLATE,BRETYLIUM TOSYLATE IN DEXTROSE 5%,28
7923,BRETYLIUM TOSYLATE,BRETYLIUM TOSYLATE IN DEXTROSE 5% IN PLASTIC CONTAINER,21
7931,BRETYLIUM TOSYLATE,BRETYLOL,13
7932,ESMOLOL HYDROCHLORIDE,BREVIBLOC,26
7935,ESMOLOL HYDROCHLORIDE,BREVIBLOC DOUBLE STRENGTH IN PLASTIC CONTAINER,11
7936,ESMOLOL HYDROCHLORIDE,BREVIBLOC IN PLASTIC CONTAINER,18
7937,METHOHEXITAL SODIUM,BREVITAL SODIUM,22
7942,GENTAMICIN SULFATE,BRISTAGEN,25
7945,BUMETANIDE,BUMETANIDE,12
7950,BUMETANIDE,BUMEX,16
7951,BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,24
7967,BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,19
7973,BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,1
7976,BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE KIT,9
7979,BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE PRESERVATIVE FREE,7
7988,BUPRENORPHINE HYDROCHLORIDE,BUPRENEX,29
7989,BUPRENORPHINE HYDROCHLORIDE,BUPRENORPHINE HYDROCHLORIDE,19
7993,BUSULFAN,BUSULFAN,28
8004,BUSULFAN,BUSULFEX,22
8005,BUTORPHANOL TARTRATE,BUTORPHANOL TARTRATE,13
8014,BUTORPHANOL TARTRATE,BUTORPHANOL TARTRATE PRESERVATIVE FREE,25
8024,VERAPAMIL HYDROCHLORIDE,CALAN,26
8025,CALCITRIOL,CALCIJEX,6
8027,CALCITONIN SALMON,CALCIMAR,5
8029,HEPARIN CALCIUM,CALCIPARINE,29
8030,CALCITONIN SALMON,CALCITONIN-SALMON,6
8046,CALCIUM CHLORIDE,CALCIUM CHLORIDE 10%,17
8049,CALCIUM CHLORIDE,CALCIUM CHLORIDE 10% IN PLASTIC CONTAINER,27
8050,EDETATE CALCIUM DISODIUM,CALCIUM DISODIUM VERSENATE,2
8051,CALCIUM GLUCEPTATE,CALCIUM GLUCEPTATE,20
8055,IRINOTECAN HYDROCHLORIDE,CAMPTOSAR,25
8058,CAPREOMYCIN SULFATE,CAPASTAT SULFATE,27
8059,CAPREOMYCIN SULFATE,CAPREOMYCIN SULFATE,7
8061,MEPIVACAINE HYDROCHLORIDE,CARBOCAINE,2
8065,LEVONORDEFRIN; MEPIVACAINE HYDROCHLORIDE,CARBOCAINE W/ NEO-COBEFRIN,29
8066,CARBOPLATIN,CARBOPLATIN,12
8090,CARBOPROST TROMETHAMINE,CARBOPROST TROMETHAMINE,29
8092,RUBIDIUM CHLORIDE RB-82,CARDIOGEN-82,8
8093,DIATRIZOATE MEGLUMINE,CARDIOGRAFIN,18
8094,TECHNETIUM TC-99M SESTAMIBI KIT,CARDIOLITE,7
8095,TECHNETIUM TC-99M TEBOROXIME KIT,CARDIOTEC,3
8096,DILTIAZEM HYDROCHLORIDE,CARDIZEM,6
8099,CARMUSTINE,CARMUSTINE,26
8102,LEVOCARNITINE,CARNITOR,6
8103,ALPROSTADIL,CAVERJECT,7
8110,ALPROSTADIL,CAVERJECT IMPULSE,28
8112,DESLANOSIDE,CEDILANID-D,10
8113,CEPHAPIRIN SODIUM,CEFADYL,11
8127,CEFAZOLIN SODIUM,CEFAZOLIN AND DEXTROSE,4
8130,CEFAZOLIN SODIUM,CEFAZOLIN SODIUM,6
8193,CEFEPIME HYDROCHLORIDE,CEFEPIME AND DEXTROSE IN DUPLEX CONTAINER,11
8195,CEFEPIME HYDROCHLORIDE,CEFEPIME HYDROCHLORIDE,19
8210,CEFEPIME HYDROCHLORIDE,CEFEPIME IN PLASTIC CONTAINER,15
8212,CEFTIZOXIME SODIUM,CEFIZOX,4
8218,CEFTIZOXIME SODIUM,CEFIZOX IN DEXTROSE 5% IN PLASTIC CONTAINER,19
8220,CEFTIZOXIME SODIUM,CEFIZOX IN PLASTIC CONTAINER,26
8222,CEFMENOXIME HYDROCHLORIDE,CEFMAX,6
8225,CEFOPERAZONE SODIUM,CEFOBID,2
8230,CEFOPERAZONE SODIUM,CEFOBID IN PLASTIC CONTAINER,23
8232,CEFOTETAN DISODIUM,CEFOTAN,13
8237,CEFOTETAN DISODIUM,CEFOTAN IN PLASTIC CONTAINER,22
8239,CEFOTAXIME SODIUM,CEFOTAXIME,1
8249,CEFOTAXIME SODIUM,CEFOTAXIME AND DEXTROSE 2.4% IN PLASTIC CONTAINER,3
8250,CEFOTAXIME SODIUM,CEFOTAXIME AND DEXTROSE 3.9% IN PLASTIC CONTAINER,22
8251,CEFOTAXIME SODIUM,CEFOTAXIME SODIUM,24
8269,CEFOTETAN DISODIUM,CEFOTETAN,16
8275,CEFOTETAN DISODIUM,CEFOTETAN AND DEXTROSE IN DUPLEX CONTAINER,15
8277,CEFOXITIN SODIUM,CEFOXITIN,11
8295,CEFOXITIN SODIUM,CEFOXITIN AND DEXTROSE IN DUPLEX CONTAINER,22
8297,CEFPIRAMIDE SODIUM,CEFPIRAMIDE SODIUM,27
8300,CEFTAZIDIME,CEFTAZIDIME,6
8309,CEFTAZIDIME,CEFTAZIDIME IN DEXTROSE CONTAINER,25
8311,CEFTAZIDIME SODIUM,CEFTAZIDIME SODIUM IN PLASTIC CONTAINER,10
8314,CEFTRIAXONE SODIUM,CEFTRIAXONE,14
8336,CEFTRIAXONE SODIUM,CEFTRIAXONE AND DEXTROSE IN DUPLEX CONTAINER,24
8338,CEFTRIAXONE SODIUM,CEFTRIAXONE IN PLASTIC CONTAINER,5
8340,CEFTRIAXONE SODIUM,CEFTRIAXONE SODIUM,13
